full_name,a,e,i,om,w,ma
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  2135 Aristaeus (1977 HA),1.599790251,0.503134536,23.06648429,191.1342704,290.9712244,240.2898378
  2201 Oljato (1947 XC),2.174221328,0.712911358,2.522413345,74.98751471,98.23956125,264.6362825
  2340 Hathor (1976 UA),0.843829246,0.449884166,5.854591233,211.5421371,39.92629417,42.10443295
  3122 Florence (1981 ET3),1.769011263,0.423021993,22.14392692,336.0623819,27.85093241,134.2059881
  3200 Phaethon (1983 TB),1.271416622,0.889796371,22.25713436,265.2202208,322.1815557,6.461042063
  3361 Orpheus (1982 HR),1.209662179,0.322751829,2.685064208,189.5305495,301.6952073,102.8299018
  3362 Khufu (1984 QA),0.9895571,0.468442456,9.916983674,152.4315126,55.05441199,38.08269241
  3671 Dionysus (1984 KD),2.19841125,0.541600616,13.53385393,82.08621181,204.2648054,68.47208932
  3757 Anagolay (1982 XB),1.834200673,0.446262128,3.867849459,74.95967816,17.22211122,98.43824054
  4015 Wilson-Harrington (1979 VA),2.625557512,0.631402822,2.798394201,266.8048561,95.38601696,217.3430556
  4034 Vishnu (1986 PA),1.059574772,0.444117918,11.16785229,157.9102491,296.700197,75.25975057
  4179 Toutatis (1989 AC),2.544495698,0.624091631,0.448071649,125.1983407,277.9990756,359.8176481
  4183 Cuno (1959 LM),1.983303634,0.634155722,6.703889921,294.8674195,236.3537023,41.92903821
  4450 Pan (1987 SY),1.442128428,0.586580819,5.520632199,311.8023465,291.8283909,115.5387241
